midName,champion,top_four,top_five,top_six,top_half,relegation
Arsenal,85.1%,>99.9%,>99.9%,>99.9%,>99.9%,<0.1%
Man City,14.9%,>99.9%,>99.9%,>99.9%,>99.9%,<0.1%
Man Utd,<0.1%,>99.9%,>99.9%,>99.9%,>99.9%,<0.1%
Liverpool,<0.1%, 76.7%, 97.7%,>99.9%,>99.9%,<0.1%
Aston Villa,<0.1%, 23.0%, 86.0%, 98.4%,>99.9%,<0.1%
Bournemouth,<0.1%,  0.3%, 12.1%, 66.2%,>99.9%,<0.1%
Brighton,<0.1%,<0.1%,  4.2%, 33.3%, 99.9%,<0.1%
Brentford,<0.1%,<0.1%,<0.1%,  1.3%, 82.7%,<0.1%
Chelsea,<0.1%,<0.1%,<0.1%,  0.8%, 70.1%,<0.1%
Everton,<0.1%,<0.1%,<0.1%,<0.1%, 70.9%,<0.1%
Fulham,<0.1%,<0.1%,<0.1%,<0.1%, 41.2%,<0.1%
Sunderland,<0.1%,<0.1%,<0.1%,<0.1%, 25.1%,<0.1%
Newcastle,<0.1%,<0.1%,<0.1%,<0.1%, 10.0%,<0.1%
Leeds Utd,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
Crystal Palace,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
Notts Forest,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
Tottenham,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%, 26.0%
West Ham,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%, 74.0%
Burnley,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,>99.9%
Wolves,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,>99.9%
